Universidade,Mesorregião,Município,Curso,Categoria
Unesp,Ribeirão Preto ,Jaboticabal,Administração,Humanas
Unesp,Marília,Tupã,Administração,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Administração,Humanas
USP,Piracicaba,Piracicaba,Administração,Humanas
UFSCar,Itapetininga,Buri,Administração,Humanas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Administração,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Administração,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Administração,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,Administração,Humanas
PUC-SP,Campinas,Campinas,Administração,Humanas
ESPM,Metropolitana de São Paulo,São Paulo,Administração,Humanas
Insper,Metropolitana de São Paulo,São Paulo,Administração,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Administração,Humanas
Unifesp,Metropolitana de São Paulo,Osasco,Administração,Humanas
PUC-SP,Campinas,Campinas,Administração,Humanas
Unicamp,Piracicaba,Limeira,Administração,Humanas
PUC-SP,Campinas,Campinas,Administração – Finanças Corporativas e Mercade de Capitais,Humanas
PUC-SP,Campinas,Campinas,Administração – Marketing e Inovação,Humanas
FGV,Metropolitana de São Paulo,São Paulo,Administração de Empresas,Humanas
USP,Metropolitana de São Paulo,São Paulo,Administração de Empresas,Humanas
FGV,Metropolitana de São Paulo,São Paulo,Administração Pública,Humanas
Unesp,Araraquara,Araraquara,Administração Pública,Humanas
USP,Metropolitana de São Paulo,São Paulo,Administração Pública,Humanas
Unicamp,Piracicaba,Limeira,Administração Pública,Humanas
UFSCar,Piracicaba,Araras,Agroecologia,Biológicas
UNITAU,Vale do Paraíba Paulista,Taubaté,Agronomia,Biológicas
UNITAU,Vale do Paraíba Paulista,Taubaté,Análise e Desenvolvimento de Sistemas,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Análise e Desenvolvimento de Sistemas,Exatas
USCS,Metropolitana de São Paulo,São Paulo,Análise e Desenvolvimento de Sistemas,Exatas
Unicamp,Piracicaba,Limeira,Análise e Desenvolvimento de Sistemas,Exatas
Unesp,Bauru,Bauru,Arquitetura e Urbanismo,Humanas
Unesp,Presidente Prudente,Presidente Prudente,Arquitetura e Urbanismo,Humanas
USP,Araraquara,São Carlos,Arquitetura e Urbanismo,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Arquitetura e Urbanismo,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Arquitetura e Urbanismo,Humanas
PUC-SP,Campinas,Campinas,Arquitetura e Urbanismo,Humanas
USP,Metropolitana de São Paulo,São Paulo,Arquitetura e Urbanismo,Humanas
Unicamp,Campinas,Campinas,Arquitetura e Urbanismo,Humanas
Unesp,Marília,Marília,Arquivologia,Humanas
PUC-SP,Metropolitana de São Paulo,São Paulo,"Arte: História, Crítica e Curadoria",Humanas
USP,Metropolitana de São Paulo,São Paulo,Artes Cênicas,Humanas
Unesp,Metropolitana de São Paulo,São Paulo,Artes Cênicas,Humanas
Unicamp,Campinas,Campinas,Artes Cênicas,Humanas
