Mesorregião,Município,Administração_Pública,Agricultura,Comércio,Industria,Serviços,Total
SÃO JOSÉ DO RIO PRETO,APARECIDA D'OESTE,248,102,105,166,73,694
SÃO JOSÉ DO RIO PRETO,ASPÁSIA,173,20,14,2,9,218
SÃO JOSÉ DO RIO PRETO,DIRCE REIS,150,9,14,120,4,297
SÃO JOSÉ DO RIO PRETO,DOLCINÓPOLIS,163,16,22,71,17,289
SÃO JOSÉ DO RIO PRETO,JALES,1366,152,4261,2510,3627,11916
SÃO JOSÉ DO RIO PRETO,MARINÓPOLIS,161,81,38,1,7,288
SÃO JOSÉ DO RIO PRETO,MESÓPOLIS,182,45,23,2,1,253
SÃO JOSÉ DO RIO PRETO,NOVA CANAÃ PAULISTA,161,20,18,2,10,211
SÃO JOSÉ DO RIO PRETO,PALMEIRA D'OESTE,310,180,379,73,203,1145
SÃO JOSÉ DO RIO PRETO,PARANAPUÃ,164,404,113,4,39,724
SÃO JOSÉ DO RIO PRETO,PONTALINDA,228,55,39,4,14,340
SÃO JOSÉ DO RIO PRETO,POPULINA,217,148,57,3,32,457
SÃO JOSÉ DO RIO PRETO,RUBINÉIA,254,190,66,13,56,579
SÃO JOSÉ DO RIO PRETO,SANTA ALBERTINA,318,1005,203,249,130,1905
SÃO JOSÉ DO RIO PRETO,SANTA CLARA D'OESTE,192,202,26,145,240,805
SÃO JOSÉ DO RIO PRETO,SANTA FÉ DO SUL,1319,331,2366,2153,2702,8871
SÃO JOSÉ DO RIO PRETO,SANTANA DA PONTE PENSA,147,28,14,0,18,207
SÃO JOSÉ DO RIO PRETO,SANTA RITA D'OESTE,205,46,51,5,24,331
SÃO JOSÉ DO RIO PRETO,SANTA SALETE,146,24,39,1,8,218
SÃO JOSÉ DO RIO PRETO,SÃO FRANCISCO,134,12,27,2,8,183
SÃO JOSÉ DO RIO PRETO,TRÊS FRONTEIRAS,234,89,142,67,61,593
SÃO JOSÉ DO RIO PRETO,URÂNIA,302,66,250,499,294,1411
SÃO JOSÉ DO RIO PRETO,VITÓRIA BRASIL,118,21,61,0,5,205
SÃO JOSÉ DO RIO PRETO,ESTRELA D'OESTE,332,249,318,2149,546,3594
SÃO JOSÉ DO RIO PRETO,FERNANDÓPOLIS,1821,524,5366,3608,5094,16413
SÃO JOSÉ DO RIO PRETO,GUARANI D'OESTE,173,18,67,63,16,337
SÃO JOSÉ DO RIO PRETO,INDIAPORÃ,241,66,112,27,88,534
SÃO JOSÉ DO RIO PRETO,MACEDÔNIA,250,124,34,72,30,510
SÃO JOSÉ DO RIO PRETO,MERIDIANO,210,99,96,1510,20,1935
SÃO JOSÉ DO RIO PRETO,MIRA ESTRELA,251,64,53,37,33,438
SÃO JOSÉ DO RIO PRETO,OUROESTE,553,329,427,920,244,2473
SÃO JOSÉ DO RIO PRETO,PEDRANÓPOLIS,210,83,16,77,22,408
SÃO JOSÉ DO RIO PRETO,SÃO JOÃO DAS DUAS PONTES,176,42,36,19,13,286
SÃO JOSÉ DO RIO PRETO,TURMALINA,177,91,28,2,15,313
SÃO JOSÉ DO RIO PRETO,ÁLVARES FLORENCE,267,118,30,49,40,504
SÃO JOSÉ DO RIO PRETO,AMÉRICO DE CAMPOS,312,81,107,31,41,572
SÃO JOSÉ DO RIO PRETO,CARDOSO,466,330,283,83,268,1430
SÃO JOSÉ DO RIO PRETO,COSMORAMA,394,168,196,1706,206,2670
SÃO JOSÉ DO RIO PRETO,PARISI,194,46,18,62,11,331
SÃO JOSÉ DO RIO PRETO,PONTES GESTAL,148,35,33,269,9,494
SÃO JOSÉ DO RIO PRETO,RIOLÂNDIA,499,231,174,27,146,1077
SÃO JOSÉ DO RIO PRETO,VALENTIM GENTIL,449,111,399,2202,226,3387
SÃO JOSÉ DO RIO PRETO,VOTUPORANGA,2384,209,6733,8000,8932,26258
SÃO JOSÉ DO RIO PRETO,ADOLFO,250,280,96,149,117,892
SÃO JOSÉ DO RIO PRETO,ALTAIR,216,450,43,28,23,760
SÃO JOSÉ DO RIO PRETO,BADY BASSITT,680,99,946,1578,1520,4823
SÃO JOSÉ DO RIO PRETO,BÁLSAMO,277,109,297,1478,283,2444
SÃO JOSÉ DO RIO PRETO,CEDRAL,356,137,638,1202,2696,5029
SÃO JOSÉ DO RIO PRETO,GUAPIAÇU,563,702,709,2708,559,5241
SÃO JOSÉ DO RIO PRETO,GUARACI,665,284,266,1140,293,2648
SÃO JOSÉ DO RIO PRETO,IBIRÁ,358,155,444,842,485,2284
SÃO JOSÉ DO RIO PRETO,ICÉM,428,111,99,230,251,1119
SÃO JOSÉ DO RIO PRETO,IPIGUÁ,222,321,108,488,98,1237
SÃO JOSÉ DO RIO PRETO,JACI,226,97,264,1702,854,3143
SÃO JOSÉ DO RIO PRETO,JOSÉ BONIFÁCIO,956,658,2239,3416,2127,9396
SÃO JOSÉ DO RIO PRETO,MENDONÇA,330,1153,217,579,111,2390
