COD_IBGE,MUNICIPIO,FAIXA_IDADE,POPULACAO,NM_MESORREGIÃO
3500105,Adamantina,de 15 a 19 anos,1837,Presidente Prudente
3500105,Adamantina,de 20 a 24 anos,2116,Presidente Prudente
3500204,Adolfo,de 15 a 19 anos,212,São José do Rio Preto
3500204,Adolfo,de 20 a 24 anos,233,São José do Rio Preto
3500303,Aguaí,de 15 a 19 anos,2377,Campinas
3500303,Aguaí,de 20 a 24 anos,2758,Campinas
3500402,Águas da Prata,de 15 a 19 anos,451,Campinas
3500402,Águas da Prata,de 20 a 24 anos,522,Campinas
3500501,Águas de Lindóia,de 15 a 19 anos,1077,Campinas
3500501,Águas de Lindóia,de 20 a 24 anos,1299,Campinas
3500550,Águas de Santa Bárbara,de 15 a 19 anos,380,Bauru
3500550,Águas de Santa Bárbara,de 20 a 24 anos,491,Bauru
3500600,Águas de São Pedro,de 15 a 19 anos,157,Piracicaba
3500600,Águas de São Pedro,de 20 a 24 anos,220,Piracicaba
3500709,Agudos,de 15 a 19 anos,2378,Bauru
3500709,Agudos,de 20 a 24 anos,2797,Bauru
3500758,Alambari,de 15 a 19 anos,439,Itapetininga
3500758,Alambari,de 20 a 24 anos,542,Itapetininga
3500808,Alfredo Marcondes,de 15 a 19 anos,226,Presidente Prudente
3500808,Alfredo Marcondes,de 20 a 24 anos,260,Presidente Prudente
3500907,Altair,de 15 a 19 anos,277,São José do Rio Preto
3500907,Altair,de 20 a 24 anos,307,São José do Rio Preto
3501004,Altinópolis,de 15 a 19 anos,969,Ribeirão Preto
3501004,Altinópolis,de 20 a 24 anos,1175,Ribeirão Preto
3501103,Alto Alegre,de 15 a 19 anos,216,Araçatuba
3501103,Alto Alegre,de 20 a 24 anos,254,Araçatuba
3501152,Alumínio,de 15 a 19 anos,1358,Macro Metropolitana Paulista
3501152,Alumínio,de 20 a 24 anos,1464,Macro Metropolitana Paulista
3501202,Álvares Florence,de 15 a 19 anos,177,São José do Rio Preto
3501202,Álvares Florence,de 20 a 24 anos,231,São José do Rio Preto
3501301,Álvares Machado,de 15 a 19 anos,1614,Presidente Prudente
3501301,Álvares Machado,de 20 a 24 anos,1828,Presidente Prudente
3501400,Álvaro de Carvalho,de 15 a 19 anos,266,Marília
3501400,Álvaro de Carvalho,de 20 a 24 anos,570,Marília
3501509,Alvinlândia,de 15 a 19 anos,212,Marília
3501509,Alvinlândia,de 20 a 24 anos,270,Marília
3501608,Americana,de 15 a 19 anos,13098,Campinas
3501608,Americana,de 20 a 24 anos,15793,Campinas
3501707,Américo Brasiliense,de 15 a 19 anos,2703,Araraquara
3501707,Américo Brasiliense,de 20 a 24 anos,3250,Araraquara
3501806,Américo de Campos,de 15 a 19 anos,336,São José do Rio Preto
3501806,Américo de Campos,de 20 a 24 anos,422,São José do Rio Preto
3501905,Amparo,de 15 a 19 anos,4003,Campinas
3501905,Amparo,de 20 a 24 anos,4737,Campinas
3502002,Analândia,de 15 a 19 anos,332,Araraquara
3502002,Analândia,de 20 a 24 anos,377,Araraquara
3502101,Andradina,de 15 a 19 anos,3228,Araçatuba
3502101,Andradina,de 20 a 24 anos,3912,Araçatuba
3502200,Angatuba,de 15 a 19 anos,1717,Itapetininga
3502200,Angatuba,de 20 a 24 anos,1979,Itapetininga
3502309,Anhembi,de 15 a 19 anos,513,Bauru
3502309,Anhembi,de 20 a 24 anos,609,Bauru
3502408,Anhumas,de 15 a 19 anos,266,Presidente Prudente
3502408,Anhumas,de 20 a 24 anos,324,Presidente Prudente
3502507,Aparecida,de 15 a 19 anos,2222,Vale do Paraíba Paulista
3502507,Aparecida,de 20 a 24 anos,2465,Vale do Paraíba Paulista
3502606,Aparecida d'Oeste,de 15 a 19 anos,238,São José do Rio Preto
3502606,Aparecida d'Oeste,de 20 a 24 anos,296,São José do Rio Preto
3502705,Apiaí,de 15 a 19 anos,1891,Itapetininga
3502705,Apiaí,de 20 a 24 anos,2322,Itapetininga
3502754,Araçariguama,de 15 a 19 anos,1626,Macro Metropolitana Paulista
3502754,Araçariguama,de 20 a 24 anos,1847,Macro Metropolitana Paulista
3502804,Araçatuba,de 15 a 19 anos,10691,Araçatuba
3502804,Araçatuba,de 20 a 24 anos,12884,Araçatuba
3502903,Araçoiaba da Serra,de 15 a 19 anos,2142,Macro Metropolitana Paulista
3502903,Araçoiaba da Serra,de 20 a 24 anos,2751,Macro Metropolitana Paulista
3503000,Aramina,de 15 a 19 anos,319,Ribeirão Preto
3503000,Aramina,de 20 a 24 anos,391,Ribeirão Preto
3503109,Arandu,de 15 a 19 anos,412,Bauru
3503109,Arandu,de 20 a 24 anos,516,Bauru
3503158,Arapeí,de 15 a 19 anos,172,Vale do Paraíba Paulista
3503158,Arapeí,de 20 a 24 anos,200,Vale do Paraíba Paulista
3503208,Araraquara,de 15 a 19 anos,12668,Araraquara
3503208,Araraquara,de 20 a 24 anos,15776,Araraquara
3503307,Araras,de 15 a 19 anos,7661,Piracicaba
3503307,Araras,de 20 a 24 anos,9473,Piracicaba
3503356,Arco-Íris,de 15 a 19 anos,101,Marília
3503356,Arco-Íris,de 20 a 24 anos,118,Marília
3503406,Arealva,de 15 a 19 anos,505,Bauru
3503406,Arealva,de 20 a 24 anos,603,Bauru
3503505,Areias,de 15 a 19 anos,297,Vale do Paraíba Paulista
3503505,Areias,de 20 a 24 anos,345,Vale do Paraíba Paulista
3503604,Areiópolis,de 15 a 19 anos,828,Bauru
3503604,Areiópolis,de 20 a 24 anos,892,Bauru
3503703,Ariranha,de 15 a 19 anos,589,São José do Rio Preto
3503703,Ariranha,de 20 a 24 anos,692,São José do Rio Preto
3503802,Artur Nogueira,de 15 a 19 anos,3617,Campinas
3503802,Artur Nogueira,de 20 a 24 anos,4328,Campinas
3503901,Arujá,de 15 a 19 anos,6456,Metropolitana de São Paulo
3503901,Arujá,de 20 a 24 anos,7790,Metropolitana de São Paulo
3503950,Aspásia,de 15 a 19 anos,101,São José do Rio Preto
3503950,Aspásia,de 20 a 24 anos,116,São José do Rio Preto
3504008,Assis,de 15 a 19 anos,5964,Assis
3504008,Assis,de 20 a 24 anos,7314,Assis
3504107,Atibaia,de 15 a 19 anos,9074,Macro Metropolitana Paulista
3504107,Atibaia,de 20 a 24 anos,10709,Macro Metropolitana Paulista
3504206,Auriflama,de 15 a 19 anos,832,São José do Rio Preto
