Humanas,Biológicas,Exatas,Saúde
Direito,Ciências Biológicas,Matemática,Educação Física
Administração,Biotecnologia,Física,Enfermagem
Pedagogia,Zootecnia,Química,Medicina
Ciências Sociais,Ciências,Engenharia de Produção,Fisioterapia
História,Agroecologia,Ciência da Computação,Fonoaudiologia
Ciências Econômicas,Agronomia,Engenharia Civil,Odontologia
Geografia,Biomoleculares,Engenharia Química,Farmácia
Relações Internacionais,Ciências Ambientais,Engenharia Ambiental,Medicina Veterinária
Filosofia,Ciências Biológicas – Licenciatura,Engenharia Mecânica,Nutrição
Psicologia,Ciências Biológicas e da Saúde,Engenharia Agronômica,Terapia Ocupacional
