Universidade,Mesorregião,Município,Latitude,Longitude
Unesp,Araçatuba,Araçatuba,-21.185956240838973,-50.43962705903006
Unesp,Araraquara,Araraquara,-21.811493783203403,-48.19590316207687
Unesp,Assis,Assis,-22.649293862448538,-50.43752533372782
Unesp,Bauru,Bauru,-22.347432678393226,-49.03172267679693
Unesp,Bauru,Botucatu,-22.88955548289055, -48.4936055487217
Unesp,Presidente Prudente ,Dracena,-21.460097781661965,-51.555145827671964
Unesp,Ribeirão Preto ,Franca,-20.51048944002953,-47.38612033379809
Unesp,Vale do Paraíba Paulista ,Guaratinguetá,-22.8031493587719,-45.18953620210299
Unesp,Araçatuba,Ilha Solteira,-20.427498083582183,-51.34346988376157
Unesp,Itapetininga,Itapeva,-23.981115917451127,-48.8832752136781
Unesp,Ribeirão Preto ,Jaboticabal,-21.242491486287324,-48.29423978380832
Unesp,Marília,Marília,-22.232598610131973,-49.96848842937161
Unesp,Assis,Ourinhos,-22.99912282717232,-49.84377039138629
Unesp,Presidente Prudente,Presidente Prudente,-22.120602145586037,-51.40812597607509
Unesp,Litoral Sul Paulista,Registro,-24.5013521280957,-47.85205752247848
Unesp,Piracicaba,Rio Claro,-22.3970141454799,-47.547835620242395
Unesp,Presidente Prudente ,Rosana,-22.52267459534003,-52.95187560489685
Unesp,Campinas,São João da Boa Vista,-21.997630684367547,-46.79250587607929
Unesp,São José do Rio Preto,São José do Rio Preto,-20.78504483614261,-49.35981790495402
Unesp,Vale do Paraíba Paulista,São José dos Campos,-23.199439082295264,-45.88886329137937
Unesp,Metropolitana de São Paulo,São Paulo,-23.52411917089416,-46.666443619544694
Unesp,Metropolitana de São Paulo,São Vicente,-23.971115161139895,-46.39459660484575
Unesp,Macro Metropolitana Paulista,Sorocaba,-23.479549397830805,-47.41718199136945
Unesp,Marília,Tupã,-21.928203085221096,-50.49226817608154
USP,Metropolitana de São Paulo,São Paulo,-23.557888413462216,-46.721171076025264
USP-Leste,Metropolitana de São Paulo,São Paulo,-23.485509658649256,-46.50127980486326
USP,Araraquara,São Carlos,-22.004024554039386,-47.898483976079156
USP,Ribeirão Preto,Ribeirão Preto,-21.166562655468137,-47.854271076106485
USP,Piracicaba,Piracicaba,-22.711844812391387,-47.634545946023934
USP,Bauru,Bauru,-22.334741731757546,-49.0583524049032
USP,Campinas,Pirassununga,-21.981057157001533,-47.430514077718506
USP,Vale do Paraíba Paulista,Lorena,-22.697043083533668,-45.119115232542086
USP,Metropolitana de São Paulo ,Santos,-23.942790989804266,-46.32919519135287
Unicamp,Campinas,Campinas,-22.81842791390302,-47.06473001042481
Unicamp,Piracicaba,Limeira,-22.555032342245894,-47.42903484889123
Unicamp,Piracicaba,Piracicaba,-22.701642189414578,-47.64773429982029
UFSCar,Piracicaba,Araras,-22.313218994246853,-47.38246711595663
UFSCar,Itapetininga,Buri,-23.599443810397453,-48.52963749263566
UFSCar,Araraquara,São Carlos,-21.984001874675617,-47.88153992220832
UFSCar,Macro Metropolitana Paulista,Sorocaba,-23.580023375383934,-47.52428186773469
Unifesp,Metropolitana de São Paulo,São Paulo,-23.59155604774883,-46.64897293152204
Unifesp,Metropolitana de São Paulo,Santos,-23.947178736399014,-46.319395742520435
Unifesp,Metropolitana de São Paulo,Osasco,-23.52956335237975,-46.806616576026386
